alpha_2,region,,flag,大洲:,origin name,Let's Go,,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18
BO,波利维亚,其他,https://www.fluentpython.com/data/flags/bo/bo.gif,南美,Bolivia,0,0,1,1,1,1,1,1,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,8,11,12,15,19,22,25,28,30,32,34,35,36,37,38,40,41,42,44,45,46,47,48,50,53,56,59,62,64,67,71,73,75,80,85,185,266,330,388,430,471,498,524,551,570,584,604,623,637,649,659,669,683,696,707,707,707,707
BH,巴林,其他,https://www.fluentpython.com/data/flags/bh/bh.gif,亚洲,Bahrain,0,0,1,2,3,5,5,9,10,11,11,12,13,13,15,16,18,18,18,20,21,22,22,22,24,24,24,25,26,26,28,29,30,31,34,35,36,38,42,44,46,49,51,53,53,55,57,57,58,60,63,65,67,68,69,75,89,103,119,131,135,145,150,153,159,163,179,187,287,364,422,455,486,515,541,559,580,600,612,628,638,647,657,669,680,689,694,701,701,701,701
SZ,斯威士兰,其他,https://www.fluentpython.com/data/flags/sz/sz.gif,非洲,Eswatini,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,9,11,16,19,22,22,22,22,25,25,25,25,25,25,25,25,25,28,28,36,36,47,52,60,63,66,69,72,84,87,92,163,263,335,377,430,457,498,520,543,556,569,590,608,631,639,666,680,683,694,701,701,701,701
TH,泰国,其他,https://www.fluentpython.com/data/flags/th/th.gif,亚洲,Thailand,0,0,0,0,0,1,1,2,2,2,2,2,3,3,4,5,6,7,8,9,10,11,11,12,12,13,14,15,16,17,18,18,19,20,21,22,23,25,28,31,35,38,40,41,42,43,44,45,46,47,49,51,53,54,55,57,61,66,72,79,83,86,90,95,100,106,117,127,195,245,274,304,332,357,386,410,434,451,466,483,500,517,533,547,559,571,583,594,694,694,694
AL,阿尔巴尼亚,其他,https://www.fluentpython.com/data/flags/al/al.gif,欧洲,Albania,0,0,1,1,3,4,5,5,7,8,9,10,10,10,11,13,14,15,16,16,16,17,17,17,17,17,18,19,20,21,22,23,25,26,27,30,32,34,37,41,44,48,53,56,58,61,62,64,67,69,70,73,75,76,77,81,90,101,115,124,128,133,140,144,152,158,168,173,273,340,399,442,482,512,539,558,581,598,613,625,635,646,655,667,673,680,685,693,693,693,693
BA,波斯尼亚和黑塞哥维那,其他,https://www.fluentpython.com/data/flags/ba/ba.gif,欧洲,Bosnia & Herzegovina,0,0,0,0,1,1,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,7,7,8,11,12,13,14,15,16,19,23,26,28,30,33,35,36,37,38,41,41,42,43,45,47,48,49,50,53,56,59,64,67,70,73,76,80,85,90,100,108,208,274,331,379,419,456,489,515,538,559,578,594,609,622,633,644,655,668,679,689,689,689,689
UY,乌拉圭,其他,https://www.fluentpython.com/data/flags/uy/uy.gif,南美,Uruguay,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,7,9,11,12,15,17,18,20,21,23,24,24,24,25,26,26,27,28,29,30,31,33,39,43,47,50,53,57,60,65,68,71,76,82,182,257,324,372,416,457,485,510,533,554,576,592,604,615,630,642,654,665,676,686,686,686,686
CR,哥斯达黎加,其他,https://www.fluentpython.com/data/flags/cr/cr.gif,北美,Costa Rica,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,10,12,14,16,19,21,22,24,25,26,27,28,29,30,31,32,33,34,34,35,38,46,51,55,58,61,63,67,73,78,83,94,104,204,269,324,376,414,443,469,487,510,528,541,555,565,576,585,592,601,610,622,630,685,685,685
JM,牙买加,其他,https://www.fluentpython.com/data/flags/jm/jm.gif,北美,Jamaica,0,0,0,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,7,8,8,8,9,9,9,11,12,12,13,13,15,16,16,17,17,17,19,22,23,26,26,28,31,34,38,42,47,50,52,57,61,65,69,77,84,184,275,340,394,442,479,512,542,570,590,604,618,628,641,649,658,662,670,676,682,682,682,682
SE,瑞典,其他,https://www.fluentpython.com/data/flags/se/se.gif,欧洲,Sweden,0,0,1,2,3,4,5,6,7,8,8,8,9,10,11,11,11,11,12,13,14,15,16,17,18,19,20,23,26,28,29,30,31,33,35,37,38,40,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,62,69,75,81,86,90,94,98,103,109,115,127,136,236,287,332,376,415,450,480,505,528,547,566,583,598,611,623,636,649,662,672,682,682,682,682
LY,利比亚,其他,https://www.fluentpython.com/data/flags/ly/ly.gif,非洲,Libya,0,0,1,2,4,5,7,9,10,10,10,10,10,11,12,12,14,14,15,16,18,19,20,20,20,21,22,24,24,25,25,26,26,27,28,29,29,31,33,34,37,39,41,43,45,46,48,49,50,51,51,53,55,56,59,66,74,80,95,103,109,114,119,126,132,141,146,150,250,335,386,424,450,477,508,528,552,567,582,595,606,618,626,635,644,654,665,674,674,674,674
IR,伊朗,其他,https://www.fluentpython.com/data/flags/ir/ir.gif,亚洲,Iran,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,26,34,40,43,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,66,68,69,70,71,72,73,75,76,77,78,79,80,81,86,95,102,107,113,117,120,124,129,133,137,144,149,249,330,379,420,454,487,511,532,555,570,584,598,610,621,631,640,648,655,662,669,669,669,669
ER,厄立特里亚,其他,https://www.fluentpython.com/data/flags/er/er.gif,非洲,Eritrea,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,106,106,106,106,106,106,106,106,164,226,226,321,321,321,387,440,540,540,540,565,606,635,635,635,635,635,635,664,664,664,664
DO,多米尼加,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/206px-Flag_of_the_Dominican_Republic.svg.png,北美,Dominican Republic,0,0,0,0,1,2,3,4,5,6,7,7,8,9,10,11,12,12,13,13,14,15,16,17,18,18,18,19,20,20,21,21,22,24,25,26,28,32,36,38,40,42,43,44,46,47,48,49,51,53,55,57,59,60,61,63,67,71,75,80,84,87,90,95,100,107,115,124,224,299,353,396,431,458,488,510,530,549,565,580,592,603,614,624,635,646,656,663,663,663,663
MK,北马其顿,其他,https://www.fluentpython.com/data/flags/mk/mk.gif,欧洲,North Macedonia,0,0,1,1,1,2,2,2,2,2,2,3,4,4,5,6,6,6,7,8,9,10,10,11,12,13,14,14,15,16,17,18,20,21,23,24,26,30,36,38,41,42,44,47,48,49,51,53,54,56,57,59,60,62,63,66,72,78,83,90,92,95,100,106,113,121,133,145,245,315,362,403,444,471,497,520,541,551,566,577,589,599,610,624,634,647,654,663,663,663,663
MY,马来西亚,其他,https://www.fluentpython.com/data/flags/my/my.gif,亚洲,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,4,5,6,6,7,8,8,9,10,11,13,15,20,23,25,28,30,31,32,34,37,38,39,40,42,43,44,45,48,53,59,66,75,82,87,91,96,102,107,117,123,223,297,351,393,427,456,479,499,518,537,552,568,580,591,603,615,625,636,646,655,655,655,655
PA,巴拿马,其他,https://www.fluentpython.com/data/flags/pa/pa.gif,北美,Panama,0,0,0,0,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,9,11,13,15,20,24,28,31,32,35,36,37,38,38,38,39,40,40,41,42,43,44,47,52,57,61,65,68,70,74,77,83,89,97,105,205,280,336,387,426,457,487,507,528,546,560,574,583,594,604,615,623,632,640,648,648,648,648
CU,古巴,其他,https://www.fluentpython.com/data/flags/cu/cu.gif,北美,Cuba,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,7,8,9,10,11,12,14,15,17,19,20,21,22,23,24,25,25,27,28,29,30,31,31,31,32,33,34,36,37,38,39,41,45,48,51,55,60,160,239,289,334,379,413,441,467,492,509,526,543,557,569,579,593,606,617,628,636,636,636,636
MU,毛里求斯,其他,https://www.fluentpython.com/data/flags/mu/mu.gif,非洲,Mauritius,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,7,8,9,11,13,13,14,15,16,17,18,19,19,19,20,22,22,22,23,23,25,29,31,35,39,41,44,46,49,53,57,66,144,244,303,342,383,415,445,470,497,517,534,550,565,577,588,601,608,615,621,630,630,630,630
NI,尼加拉瓜,其他,https://www.fluentpython.com/data/flags/ni/ni.gif,北美,Nicaragua,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,7,7,7,9,10,12,13,16,18,25,31,35,37,40,41,43,45,47,48,49,49,50,51,52,54,55,55,57,59,60,65,69,72,74,78,84,89,95,102,109,209,272,318,375,411,443,467,485,502,521,539,551,562,573,579,589,598,606,617,626,626,626,626
VE,委内瑞拉,其他,https://www.fluentpython.com/data/flags/ve/ve.gif,南美,Venezuela,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,5,5,6,8,9,11,12,14,17,19,21,22,23,24,26,26,27,28,29,30,31,32,33,34,35,36,39,43,45,48,50,53,56,59,62,67,75,81,181,255,313,359,397,429,452,474,496,511,526,538,549,558,566,575,584,594,601,609,626,626,626
PK,巴基斯坦,其他,https://www.fluentpython.com/data/flags/pk/pk.gif,亚洲,Pakistan,0,0,1,1,2,2,3,4,4,5,6,6,7,8,9,9,10,10,10,11,12,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31,32,33,34,36,37,38,39,40,41,42,43,44,44,45,46,47,48,51,55,60,65,69,73,78,83,88,93,103,110,194,256,301,332,356,377,396,413,426,437,448,458,466,474,481,488,494,500,505,510,610,610,610
TN,突尼斯,其他,https://www.fluentpython.com/data/flags/tn/tn.gif,非洲,Tunisia,0,0,2,3,3,3,4,5,6,7,7,7,8,9,9,10,10,10,11,11,12,13,14,15,16,17,17,19,19,19,19,19,19,20,21,21,22,23,24,26,27,28,29,30,31,32,33,34,36,37,38,39,40,40,41,43,51,58,66,74,79,83,85,92,98,103,113,120,220,282,331,368,399,428,449,469,490,507,524,537,550,560,569,576,587,594,602,608,608,608,608
CN,中国,其他,https://www.fluentpython.com/data/flags/cn/cn.gif,亚洲,China,0,0,0,0,0,1,2,2,3,3,3,3,4,4,4,5,6,6,6,7,7,8,9,10,10,10,10,11,12,13,13,14,14,15,16,17,19,21,26,29,30,32,34,35,36,38,40,41,42,44,46,47,48,48,49,50,56,61,65,69,73,79,82,87,92,96,111,119,219,271,327,377,406,431,452,469,485,501,517,529,540,549,558,568,579,590,597,604,604,604,604
GA,加蓬,其他,https://www.fluentpython.com/data/flags/ga/ga.gif,非洲,Gabon,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,8,8,8,8,8,8,8,11,11,11,11,12,15,18,18,18,18,18,19,20,21,25,26,27,30,31,32,33,33,36,41,45,49,54,57,157,215,266,307,347,373,409,437,459,477,489,500,510,522,530,534,546,560,569,579,579,579,579
TT,特立尼达和多巴哥,其他,https://www.fluentpython.com/data/flags/tt/tt.gif,北美,Trinidad & Tobago,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,6,8,9,10,12,14,15,16,17,17,18,20,21,21,22,23,24,24,25,26,27,29,30,33,36,37,42,43,45,46,51,54,60,71,76,176,249,309,360,391,412,431,444,459,478,491,503,514,523,530,539,544,552,558,564,564,564,564
EC,厄瓜多尔,其他,https://www.fluentpython.com/data/flags/ec/ec.gif,南美,Ecuador,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,6,7,9,12,15,17,18,19,20,21,22,23,23,24,24,25,26,27,28,29,29,30,34,39,44,47,48,50,52,56,60,64,69,73,173,238,291,333,365,397,419,436,456,471,483,495,504,513,521,530,537,545,552,558,558,558,558
EG,埃及,其他,https://www.fluentpython.com/data/flags/eg/eg.gif,非洲,Egypt,0,0,1,2,3,4,5,6,7,8,9,10,11,11,12,12,13,14,15,16,16,17,18,19,19,19,20,21,22,23,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,53,58,64,70,74,78,82,86,89,95,102,108,208,274,311,342,371,393,413,430,448,462,476,488,499,510,520,527,534,541,548,555,555,555,555
SV,萨尔瓦多,其他,https://www.fluentpython.com/data/flags/sv/sv.gif,北美,El Salvador,0,0,0,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,7,8,10,12,16,21,24,28,29,31,33,34,35,36,37,38,38,39,39,40,41,42,45,50,55,59,61,63,66,71,75,79,84,91,98,198,269,317,353,382,406,426,442,454,469,480,489,499,507,518,525,533,541,547,553,553,553,553
TR,土耳其,其他,https://www.fluentpython.com/data/flags/tr/tr.gif,亚洲,Turkey,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22,23,24,25,26,27,28,29,30,31,33,34,36,38,40,42,43,44,45,46,47,48,49,51,52,53,54,55,56,57,58,61,67,72,77,82,86,91,96,101,106,113,127,136,236,294,343,380,405,422,437,451,463,474,485,494,501,508,515,521,527,533,537,541,552,552,552
AR,阿根廷,其他,https://www.fluentpython.com/data/flags/ar/ar.gif,南美,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,9,11,14,16,18,19,21,22,23,24,24,24,25,26,27,28,29,30,31,32,35,37,39,41,43,45,48,51,54,57,62,67,167,234,276,310,342,370,391,409,428,443,459,472,481,489,498,506,514,522,529,537,549,549,549
MM,缅甸,其他,https://www.fluentpython.com/data/flags/mm/mm.gif,亚洲,Myanmar (Burma),0,0,0,0,0,1,1,2,3,4,5,6,7,8,8,9,9,10,11,11,11,12,12,12,12,12,12,14,15,16,16,16,16,16,17,18,19,19,20,23,24,25,26,26,27,28,30,33,34,35,36,37,38,39,39,43,49,54,60,65,72,77,79,82,84,90,97,102,202,262,298,338,369,392,412,425,443,459,474,487,498,506,513,520,525,534,541,549,549,549,549
GT,瓜地马拉,其他,https://www.fluentpython.com/data/flags/gt/gt.gif,北美,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5,5,5,5,6,7,8,11,13,15,18,19,20,22,24,25,26,27,27,27,27,28,29,30,31,32,34,35,38,42,44,46,49,52,54,57,63,72,172,230,273,311,339,361,377,390,405,417,430,441,451,459,467,475,483,491,497,504,548,548,548
PY,巴拉圭,其他,https://www.fluentpython.com/data/flags/py/py.gif,南美,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,5,6,7,9,12,13,16,18,19,21,23,24,25,25,25,26,27,28,28,29,29,30,31,31,33,37,41,44,46,48,49,52,55,57,62,70,76,176,234,293,341,377,401,420,435,450,462,476,486,494,501,507,517,525,531,536,542,542,542,542
CO,哥伦比亚,其他,https://www.fluentpython.com/data/flags/co/co.gif,南美,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,11,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,38,42,45,48,50,53,57,62,66,70,75,80,180,242,290,329,355,376,394,411,428,442,454,464,472,481,488,494,500,506,511,516,526,526,526
HN,洪都拉斯,其他,https://www.fluentpython.com/data/flags/hn/hn.gif,北美,Honduras,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,7,7,9,10,11,12,13,14,14,14,15,16,17,17,17,17,18,19,19,20,20,22,25,28,30,32,35,37,40,45,49,54,59,152,211,244,270,292,309,324,335,348,358,366,375,381,386,393,402,409,416,421,426,526,526,526
PE,秘鲁,其他,https://www.fluentpython.com/data/flags/pe/pe.gif,南美,Peru,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,8,10,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,32,35,38,40,42,44,47,51,54,58,65,70,170,242,295,333,359,377,393,406,419,431,442,451,458,465,471,478,484,491,497,502,525,525,525
BR,巴西,其他,https://www.fluentpython.com/data/flags/br/br.gif,南美,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,25,29,32,34,36,37,39,41,44,46,48,52,56,156,211,254,293,326,356,378,395,411,426,438,447,454,460,467,473,480,487,493,498,509,509,509
CL,智利,其他,https://www.fluentpython.com/data/flags/cl/cl.gif,南美,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,8,10,12,13,14,15,16,17,18,19,19,20,21,22,23,24,25,26,29,32,34,38,41,43,46,49,52,54,59,63,163,216,256,290,314,334,353,369,385,397,408,417,425,432,438,443,448,454,459,463,463,463,463
MX,墨西哥,其他,https://www.fluentpython.com/data/flags/mx/mx.gif,北美,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,11,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,36,39,41,43,45,48,51,55,58,62,68,72,172,232,269,296,315,331,345,358,371,382,391,398,404,410,416,421,426,431,436,441,453,453,453
MN,蒙古,其他,https://www.fluentpython.com/data/flags/mn/mn.gif,亚洲,Mongolia,0,0,1,2,3,3,5,6,6,7,8,8,8,9,10,10,10,10,11,11,12,13,14,14,14,15,15,16,16,16,16,17,17,19,20,20,20,22,24,25,26,28,29,31,32,33,35,39,40,42,42,43,44,45,46,47,50,53,55,59,62,65,66,69,73,76,90,93,193,233,257,286,301,315,331,343,352,359,369,376,381,387,393,401,409,414,420,428,428,428,428
SI,斯洛文尼亚,其他,https://www.fluentpython.com/data/flags/si/si.gif,欧洲,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,23,26,29,30,32,33,34,36,38,41,47,52,90,118,142,166,181,195,210,222,234,244,255,265,274,281,288,295,302,310,316,321,421,421,421
HT,海地,其他,https://www.fluentpython.com/data/flags/ht/ht.gif,北美,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,7,7,8,9,9,10,10,11,12,12,13,14,14,14,15,16,16,19,22,25,56,109,137,162,184,204,215,228,242,249,255,262,271,280,289,294,299,303,309,316,416,416,416
AZ,阿塞拜疆,其他,https://www.fluentpython.com/data/flags/az/az.gif,亚洲,Azerbaijan,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,4,4,5,6,7,8,8,8,9,9,9,9,9,9,10,10,10,10,10,11,11,11,12,13,14,15,16,17,18,19,20,22,24,25,37,47,58,68,75,81,86,90,94,97,100,103,106,108,110,112,114,116,118,120,220,220,220
SS,南苏丹,其他,https://www.fluentpython.com/data/flags/ss/ss.gif,非洲,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,9,15,21,25,32,38,45,50,56,59,61,64,67,69,71,74,76,78,80,82,182,182,182
